group	line	day	class	imageID	npoint	nn.mean	nn.sd	cc.mean	cc.sd	mean.s.area	sd.s.area	mean.s.perimeter	sd.s.perimeter	mean.s.radius.mean	sd.s.radius.mean	mean.s.radius.sd	sd.s.radius.sd	mean.s.radius.min	sd.s.radius.min	mean.s.radius.max	sd.s.radius.max	batch
group3	21	28	line	group3.day28.R32.Ral_21_11	35	8.72465440072209	2.43062852432096	0.796252131951417	0.116895210819569	46.1034482758621	38.2411005777686	30.6551724137931	16.3625789577249	3.37388079692521	1.41924038653538	1.02897148249197	0.684770869511948	1.28339233316546	0.479464519530579	5.41888023678521	3.24482002430969	batch1
group3	21	28	line	group3.day28.R32.Ral_21_12	58	8.57903324029062	2.16609842037203	0.752772557501445	0.12221766760281	38.4615384615385	30.6776162496893	21.75	10.8444889771935	2.86518370092923	1.11707952236226	0.719175408338552	0.431186053849055	1.43243996781751	0.482079375873762	4.16729999456977	2.17045734361474	batch1
group3	21	28	line	group3.day28.R32.Ral_21_13	42	7.14859776138441	1.04914715175375	0.684967553332436	0.275895408821465	35.8888888888889	29.1633603568174	20.6111111111111	13.4786132770777	2.56366054384043	0.992091262125203	0.651568171315747	0.448354354386202	1.38511433901324	0.406682102631342	3.6903399251625	2.14993190923523	batch1
group3	21	28	line	group3.day28.R32.Ral_21_14	35	7.91613934517915	1.84017091872925	0.704821918438931	0.24330247194596	34.2068965517241	32.2284028574007	25.2068965517241	16.0008466524762	2.89083613731923	1.45456927707542	0.805868182907035	0.657230551394032	1.27022293665404	0.333322965178785	4.33179784136924	2.84926301707282	batch1
group3	21	28	line	group3.day28.R32.Ral_21_15	48	8.14510229273952	1.79840351339116	0.766790533971011	0.175282591430439	45.1666666666667	47.34817413054	25.2142857142857	18.9447665909261	3.1408051146431	1.89521654210548	0.796490898806007	0.545542739649437	1.34763297398951	0.379414674034527	4.7221055978685	3.62185335029215	batch1
group3	21	28	line	group3.day28.R32.Ral_21_2	27	10.3096001375421	3.43578259348658	0.817183710043975	0.0729601046578438	54.5714285714286	43.9221714269359	29.4285714285714	14.7192779326006	3.57532821463706	1.30741167911838	1.02094531896734	0.634443856114465	1.33442900424706	0.462619400663151	5.716568163808	3.17056077967965	batch1
group3	21	28	line	group3.day28.R32.Ral_21_3	48	8.41276283714577	2.43278698706746	0.726982032764908	0.223825813790433	46.4285714285714	53.9747650418604	24.8095238095238	20.1424658737462	3.10901839291634	2.17205506637351	0.850333408262786	0.692851053630393	1.2105495894099	0.37143081351344	4.99361162702669	4.73994422248264	batch1
group3	21	28	line	group3.day28.R32.Ral_21_4	31	8.28816344956961	2.95419370722872	0.779734490321298	0.187012156739766	61.12	87.8902345732069	31.44	39.2800627969627	3.19384210259262	2.79699458423972	0.749423444631976	0.532170746454709	1.38590416756875	0.399681898402916	5.31796762279372	6.01249601382457	batch1
group3	21	28	line	group3.day28.R32.Ral_21_5	53	8.62815097771829	2.07288194503531	0.765389707368907	0.183145426934587	39.531914893617	42.4212062759375	25.4893617021277	16.3891166703972	3.0555120529221	1.43515721265226	0.91266069623651	0.712361308764987	1.31866084543004	0.435721627525385	4.80457931714563	3.24134111854434	batch1
group3	21	28	line	group3.day28.R32.Ral_21_6	44	7.14859655496542	1.97750170700507	0.740520397601759	0.100683498691032	45.8421052631579	71.753906124313	20.7105263157895	24.1480880500354	2.75101291046417	2.55662047973376	0.541628756859655	0.320121258970016	1.34606918722058	0.341467828173371	4.18305108034061	5.1687535592882	batch1
