genename nsnp obs ngreater nperm prop rank log log.snp
FBgn0263113 129 3.87132 142 10000 0.0142985701429857 245 1.8447073898118 2.11058971029925
FBgn0034750 47 3.59979 142 10000 0.0142985701429857 245 1.8447073898118 1.67209785793572
FBgn0045502 76 3.78666 143 10000 0.0143985601439856 247 1.84168093518161 1.88081359228079
FBgn0035750 97 3.82656 144 10000 0.0144985501449855 248 1.83867542504189 1.98677173426624
FBgn0030041 59 3.60271 145 10000 0.0145985401459854 249 1.83569057149243 1.77085201164214
FBgn0267120 16 3.31251 146 10000 0.0146985301469853 250 1.83272609252869 1.20411998265592
FBgn0028896 45 3.70482 147 10000 0.0147985201479852 251 1.82978171188191 1.65321251377534
FBgn0003997 339 4.17044 147 10000 0.0147985201479852 251 1.82978171188191 2.53019969820308
FBgn0001112 135 3.90741 148 10000 0.0148985101489851 253 1.82685715886459 2.13033376849501
FBgn0034223 124 3.84759 148 10000 0.0148985101489851 253 1.82685715886459 2.09342168516224
FBgn0000083 162 3.97842 152 10000 0.0152984701529847 255 1.81535199645926 2.20951501454263
FBgn0037659 91 3.74034 152 10000 0.0152984701529847 255 1.81535199645926 1.95904139232109
FBgn0033669 44 3.3486 152 10000 0.0152984701529847 255 1.81535199645926 1.64345267648619
FBgn0011834 48 3.56946 153 10000 0.0153984601539846 258 1.8125227064404 1.68124123737559
FBgn0004878 24 3.42686 154 10000 0.0154984501549845 259 1.80971172910657 1.38021124171161
FBgn0035522 296 4.08271 154 10000 0.0154984501549845 259 1.80971172910657 2.47129171105894
FBgn0033224 59 3.67055 156 10000 0.0156984301569843 261 1.80414377486763 1.77085201164214
FBgn0031558 100 3.83451 157 10000 0.0157984201579842 262 1.80138634032244 2
FBgn0266436 72 3.72143 157 10000 0.0157984201579842 262 1.80138634032244 1.85733249643127
FBgn0264510 72 3.72651 158 10000 0.0158984101589841 264 1.79864630295641 1.85733249643127
FBgn0051560 30 3.5349 159 10000 0.015998400159984 265 1.79592344462094 1.47712125471966
FBgn0034885 301 4.17536 159 10000 0.015998400159984 265 1.79592344462094 2.47856649559384
FBgn0037491 23 3.42997 160 10000 0.0160983901609839 267 1.79321755124501 1.36172783601759
FBgn0051773 81 3.72696 160 10000 0.0160983901609839 267 1.79321755124501 1.90848501887865
FBgn0266907 14 3.10065 160 10000 0.0160983901609839 267 1.79321755124501 1.14612803567824
FBgn0036643 9 3.15877 160 10000 0.0160983901609839 267 1.79321755124501 0.954242509439325
FBgn0052107 278 4.10043 160 10000 0.0160983901609839 267 1.79321755124501 2.44404479591808
FBgn0037500 22 3.42591 161 10000 0.0161983801619838 272 1.79052841273423 1.34242268082221
FBgn0030318 21 3.41919 161 10000 0.0161983801619838 272 1.79052841273423 1.32221929473392
FBgn0021764 713 4.0528 161 10000 0.0161983801619838 272 1.79052841273423 2.85308952985187
FBgn0034035 34 3.40861 162 10000 0.0162983701629837 275 1.7878558228729 1.53147891704226
FBgn0033819 67 3.69588 163 10000 0.0163983601639836 276 1.78519957922916 1.82607480270083
FBgn0034643 114 3.81657 163 10000 0.0163983601639836 276 1.78519957922916 2.05690485133647
FBgn0051870 106 3.80567 166 10000 0.0166983301669833 278 1.77732695612928 2.02530586526477
FBgn0037180 7 3.02599 167 10000 0.0167983201679832 279 1.774734145551 0.845098040014257
FBgn0266906 16 3.10065 167 10000 0.0167983201679832 279 1.774734145551 1.20411998265592
FBgn0015770 30 3.39665 167 10000 0.0167983201679832 279 1.774734145551 1.47712125471966
